單字,中文,例句,中例,同義,反義
fragile,adj.易碎的，脆的；虛弱的； ,It is a fragile thing that can only live where fragile thins are loved.,這是一種脆弱的美，也只能存在於有人憐愛呵護的地方。,delicate;frail;breakable;,unbreakable;insignificance;meaningful;
frail,adj.脆弱的，虛弱的；意志薄弱的，不堅定的；易損的，易碎的； n.<美俚>少女，少婦；燈心草簍； ,"All men are frail, but you must admit that none is more frail than yourself.",我們人都是軟弱的，但是你必須要體認到沒有人比你更為軟弱。,light-boned;weakly;rickety;,robust;rugged;strong;
genetic,adj.遺傳的；基因的；起源的，起因的；演變的； ,"IEC methods include Interactive Evolution Strategy, Interactive genetic algorithm, Interactive Genetic Programming, and Human-based genetic algorithm.",國際電工委員會的方法包括互動式進化策略，互動式遺傳演算法，遺傳規劃互動，與人類的遺傳演算法。,familial;transmitted;heritable;,noninheritable;noninfectious;nonhereditary;
gloomy,adj.黑暗的；令人沮喪的；前景黯淡的；悲觀的，陰鬱的； ,"If your work gloomy and hopeless, it is because you are gloomy and hopeless.",如果你的工作令人沮喪，絕望，那是因為你覺得它令人沮喪，絕望。,sulky;glooming;dark;,light;consolable;achromatic color;
graphic,adj.圖解的，用圖表示的；用文字表示的；形象的，生動的； ,"SVG allows for three types of graphic objects: vector graphic shapes, images and text.",SVG支持圖形對象的三種類型：矢量圖形、圖像和文本。,graphical;in writing;written;,spoken;unreal;nonrepresentational;
honorary,adj.榮譽的，光榮的；名譽的，名譽上的；道義上的；紀念性的； n.名譽學位；獲名譽學位者；名譽團體； ,Arbitration Commission has one honorary Chairman and several advisers.,盅倜委員會設名譽主任一人顧問若幹人.,unearned;,earned;attained;
hospitable,adj.好客的；熱情友好的；（氣候，環境）宜人的； ,It was very hospitable of you [You were very hospitable] to have us stay.,您這麼親切地招待我們留下來，真是謝謝您。,kind;genial;,inhospitable;antitype;type;
humanitarian,adj.人道主義的；博愛的；慈善的； n.人道主義者；慈善家；博愛主義者； ,"Today, the group provides the Humanitarian Aid humanitarian medical aid in nearly 60 countries.","今天, 這個組織在將近60個國家提供人道主義醫學救助.",humane;human-centred;humanistic;,inhumane;inhumaneness;uncompassionate;
hysterical,adj.情緒異常激動的；歇斯底里般的；?病的；?病性； ,His hysterical laughter made everybody stunned.,他那歇斯底里的笑聲使所有的人不知所措。,hysteric;neurotic;psychoneurotic;,unneurotic;steady;unexcited;
immune,adj.免疫的；有免疫力的；不受影響的；免除…的； ,"Based on analyzing artificial immune system, a modified artificial immune algorithm-Immune Genetic Algorithm is introduced.",在分析人工免疫系統的基礎上提出一種改進的人工免疫演算法-免疫遺傳演算法。,somebody;soul;someone;,creditor;nonreligious person;worker;
imperative,adj.必要的，不可避免的；命令的，專橫的；勢在必行的；[語]祈使的； n.必要的事；命令；規則；[語]祈使語氣； ,"Report of Jiangsu development nucleus imperative "" Jiangsu develops nuclear report, be imperative! """,江蘇發展核電勢在必行「江蘇發展核電，勢在必行！」,instant;clamant;assertive;,unassertive;beseeching;slow;
implicit,adj.不言明[含蓄]的；無疑問的，絕對的；成為一部份的；內含的； ,ImplicIt'social cognition on aggression was studied through the employment of Implicit Association Test (IAT) .,採用內隱聯想測驗(IAT)對攻擊性內隱社會認知進行了研究。,silent;connotative;understood;,inexplicitness;overt;denotative;
imposing,adj.印象深刻的；壯觀的，威風的； v.強迫( impose的現在分詞)； ,"Facing the Yin Jun aggressive imposing manner, the girder fine light will certainly not exercise forbearance.",面對尹俊相咄咄逼人的氣勢，柁嘉熹當然不會忍讓。,noble;baronial;impressive;,unimpressive;noblewoman;Lady;
incentive,n.動機；刺激；誘因；鼓勵； adj.刺激性的；鼓勵性質的； ,Post benefit wage system and incentive piecework system both are incentive staffs business wage distribution methods.,崗效工資制和激勵計件工資制是兩種能夠激勵員工的企業工資分配辦法。,dynamic;inducement;moral force;,disincentive;cash;credit;
incidental,adj.附屬的；易發生的，偶然發生的；伴隨發生的； n.附帶事件；伴隨事件，雜費；非主要的附帶項或費用； ,The incidental examples I find in daily life that are intriguing to are commonplace to them.,我注意到，在生活中伴隨的事情對他們來說是平凡的。,parenthetical;secondary;omissible;,basic;dominant;major;
inclusive,adj.包括的，包羅廣泛的；包括…的；一切開支包括在內的；（語言使用上）不分男女的； ,Inclusive type area: Type area inclusive of headline and folio. See Exclusive type area.,書頁版度(版心面積): 包括書眉和頁碼在內的版心面積. 參閱內文版度.,comprehensive;,exclusive;specific;
inevitable,adj.不可避免的；必然發生的；<非正>總會發生的；必然發生的事； ,Unemployment is inevitable phenomenon under the market economy and inevitable result of the modern market economy.,失業是市場經濟不可避免的現象，是市場運行的必然產物。,inescapable;necessary;unavoidable;,evitable;optional;dispensable;
infectious,adj.傳染的；有傳染性的；易傳染的；有感染力的； ,Infectious hepatitis is the most common of all serious infectious diseases in North America.,傳染性肝炎是北美所有嚴重傳染疾病里最普遍的.,septic;infective;infected;,antiseptic;uncommunicative;healthful;
ingenious,adj.靈巧的；精巧的；設計獨特的；有天才的，聰明的； ,"Yet it is also very big, and man is very ingenious.","但它也非常大, 人類非常聰明.",adroit;clever;cunning;,maladroit;artless;stupid;
inherent,adj.固有的，內在的；天生； ,Inherent in all these questions is the underlying issue of legitimacy and acceptability.,"所有這些問題背後有一個根本性的有爭議的問題,即合法性和可接受性的問題.",integral;constitutional;intrinsical;,extrinsic;incidental;superjacent;
initiative,n.主動性；主動精神；倡議；主動權； adj.自發的；創始的；初步的； ,"To deal with these troubles, SyncML Initiative issued SyncML Data Synchronization Specification.",為了解決數據同步領域中存在的這些問題，數據同步論壇組織—SyncML 發起組(SyncML Initiative)根據通用數據同步協議的要求，制定了SyncML 數據同步規範。,go-ahead;drive;enterprise;,close;stand still;go off;
innovative,adj.革新的；創新的；富有革新精神的；創新立異； ,"Innovative community work, addition to theoretical innovation, innovative ideas, is leading the way in innovative ways.",社區工作創新，除理論創新、理念創新之外，主要是領導方法方式的創新。,original;innovational;groundbreaking;,unoriginal;low-tech;back;
intact,adj.完整無缺的，未經觸動的，未受損傷的；原封不動的；完好無缺；完好無損； ,"Compared with the picture edge classical edge operator, the new one is clearer and more intact.",文中演算法檢測出的圖像邊緣與經典邊緣運算元提取的圖像邊緣相比較，結果更加清晰完整。,entire;integral;whole;,fractional;rough;extrinsic;
invaluable,adj.非常寶貴的；無法估計的；無價的；金不換； ,This criterion of judgment means a reciprocal combination of invaluable acts with invaluable results.,這種判斷標準是行為無價和結果無價的相互結合。,priceless;valuable;,worthless;unworthy;cheap;
ironic,adj.用反語的；具有諷刺意味的；冷嘲的；令人啼笑皆非的； ,The speech is ironic the scene is ironic or the drama ironize all worthwhile on lift.,言語反諷、情景反諷或戲劇反諷都很值得一提。,wry;humorous;ironical;,humorless;wet;dryness;
irritable,adj.易怒的，急躁的；過敏的；應激性的；毛躁； ,"The such irritable scene, looks that lets the human somewhat be moved, also somewhat worried.","這樣火爆的場景, 看著讓人有幾分感動, 也有幾分擔心.",pettish;peckish;techy;,good-natured;thirsty;pleasant;
joyous,adj.快樂的，使人喜悅的；歡娛；喜慶； ,How noble is the sad heart who would sing a joyous song with joyous hearts.,"一顆悲傷的心,卻能和歡樂的心同唱歡樂的歌,這是何等高貴啊!",rhapsodic;jubilant;joyful;,dejected;unhappy;joyless;
legendary,adj.傳說的；傳奇的；極其著名的； n.傳說集；[宗]聖徒傳； ,"Across civilizations the objects are related to stories of gods , deities and legendary figures.","在人類文明的歷程中,天體常與各樣神話和傳說聯繫起來.",known;,unknown;natural;
legislative,adj.（關於）立法的；立法決定的；有權立法的，用以立法的；立法機構的； n.立法權；立法機關； ,"Meeting with Mrs Rita JP, President of the Legislative Council and legislative councillors.",會晤立法會范徐麗泰主席及立法會議員。,,
legitimate,adj.合法的，合理的；正規的；合法婚姻所生的；真正的，真實的； vt.使合法；給予合法的地位；通過法律手段給（私生子）以合法地位；正式批准，授權； ,This is the day the Rockets need a legitimate point guard and a legitimate-and consistent-No.3 scorer.,這一天的到來需要一個打得合理的控位，還要一個打得即合理又強悍，不，打得合理就夠了的3分射手。,authorised;valid;morganatic;,unauthorized;invalid;illegal;
lengthy,adj.長的，漫長的；冗長的；?唆的（演說，文章等）； ,"Attitude, chemistry and professionalism were recurring themes throughout Bird's lengthy question-and-answer session.",態度，化合作用和職業性是bird整個新聞發布會得主題。,protracted;extended;drawn-out;,short;unextended;little;
liable,adj.有責任的；有義務的；有…傾向的；易…的； ,The person making a guarantee is secondarily liable if the person who is primarily liable defaults.,如果主要承擔債務責任的人不履約，作擔保的人就是次要債務責任承擔人。,apt;likely;,unlikely;defiant;protected;
